Step,Node,Series,ElapsedTime,EpochTime,CPUFrequency,CPUTime,CPUUtilization,RSS,VMSize,Pages,ReadMB,WriteMB
batch,ns55,0,1125,1493998892,29579,71.480000,1429.600000,407924,3457876,2,8.925183,0.000000
batch,ns55,0,1130,1493998897,40389,71.640000,1432.800000,407924,3457876,2,8.858390,0.000000
batch,ns55,0,1135,1493998902,51106,71.360000,1427.200000,407924,3457876,2,8.892810,0.000000
batch,ns55,0,1140,1493998907,61737,71.180000,1423.600000,407924,3457876,2,8.877073,0.000000
batch,ns55,0,1145,1493998912,72278,71.250000,1425.000000,407924,3457876,2,8.917021,0.000000
batch,ns55,0,1150,1493998917,82733,71.320000,1426.400000,407924,3457876,2,8.925302,0.000000
batch,ns55,0,1155,1493998922,93096,71.360000,1427.200000,407924,3457876,2,8.927492,0.000000
batch,ns55,0,1160,1493998927,103379,71.170000,1423.400000,407924,3457876,2,8.900539,0.000000
batch,ns55,0,1165,1493998932,113579,71.100000,1422.000000,407924,3457876,2,8.908745,0.000000
batch,ns55,0,1170,1493998937,123695,71.320000,1426.400000,407924,3457876,2,8.931153,0.000000
batch,ns55,0,1175,1493998942,133721,71.530000,1430.600000,407924,3457876,2,8.928986,0.000000
batch,ns55,0,1180,1493998947,143666,71.670000,1433.400000,407924,3457876,2,8.931850,0.000000
batch,ns55,0,1185,1493998952,153538,71.670000,1433.400000,407924,3457880,2,8.916958,0.000000
batch,ns55,0,1190,1493998957,163331,71.030000,1420.600000,407924,3457876,2,8.876961,0.000000
batch,ns55,0,1195,1493998962,173036,71.790000,1435.800000,407924,3457876,2,8.930462,0.000000
batch,ns55,0,1200,1493998967,182674,71.210000,1424.200000,407924,3457876,2,8.844009,0.000000
batch,ns55,0,1205,1493998972,192235,71.290000,1425.800000,407924,3457876,2,8.909691,0.000000
batch,ns55,0,1210,1493998977,201710,71.310000,1426.200000,407924,3457876,2,8.929437,0.000000
